상품명,정상가,판매가,할인율,상품상세링크,이미지링크,수집일시
스마트한 샤오미 베스트셀러 한정특가,83900,82222,2%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000692148506&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/06/85/14/spclprc/1000692148506_sp.jpg,2026-06-14 12:03:12
[+쿠폰13%]나이키/아디다스 외 인기 브랜드 총 집합 ! 무료배송,35000,30450,13%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000544033848&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/48/38/03/spclprc/1000544033848_sp.jpg,2026-06-14 12:03:12
제철 과일 골라담기 최대1만원 할인[신비/자두/천도/참외/사과],16626,13800,17%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000833490628&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/28/06/49/spclprc/1000833490628_sp.jpg,2026-06-14 12:03:12
[크록스본사]본사정품 베스트라인 클로그 등 ~40% 할인 특가,45480,42752,6%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000803648009&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/09/80/64/spclprc/1000803648009_sp.jpg,2026-06-14 12:03:12
S][LG전자 직영] LG 휘센 제습기 DQ205PSVA(희망일),545970,436776,20%,https://www.ssg.com/item/itemView.ssg?itemId=1000731502695&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/95/26/50/spclprc/1000731502695_sp.jpg,2026-06-14 12:03:12
"*26ss신상* JUM26291 아이더 키즈 냉감티셔츠  2PACK 1+1/입는순간 쾌적한 아이스원단,선물추천",30000,25110,16%,https://www.ssg.com/item/itemView.ssg?itemId=1000377684053&siteNo=6009&salestrNo=1009,https://sitem.ssgcdn.com/53/40/68/spclprc/1000377684053_sp.jpg,2026-06-14 12:03:12
손수건/기저귀 외 BEST 최대 62%할인+금액별 사은품 증정+역대급 혜택,74210,70500,5%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000717870221&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/21/02/87/spclprc/1000717870221_sp.jpg,2026-06-14 12:03:12
터프 테라 패딩 슬리퍼 402176-01 02 06 /글로스 403033 - 02 03 역시즌 단독최저가,69000,20528,70%,https://www.ssg.com/item/itemView.ssg?itemId=1000626304287&siteNo=6009&salestrNo=1009,https://sitem.ssgcdn.com/87/42/30/spclprc/1000626304287_sp.jpg,2026-06-14 12:03:12
(헤드폰 2개 증정)뮤디스 디지털피아노 MF-300L PLUS 88해머건반 256동시발음,599000,599000,,https://www.ssg.com/item/itemView.ssg?itemId=1000026712119&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/19/21/71/spclprc/1000026712119_sp.jpg,2026-06-14 12:03:12
HOS청담X트웰브 견과특집,8000,5760,28%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000808416391&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/91/63/41/spclprc/1000808416391_sp.jpg,2026-06-14 12:03:12
축구 응원 꽤곰 골드바 + 키링,318900,283821,11%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000316008473&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/73/84/00/spclprc/1000316008473_sp.jpg,2026-06-14 12:03:12
"[TOPS] 경주천년한우 캠핑시즌 이벤트/캠핑폴딩박스,레고 구매 금액별 증정행사",29900,23920,20%,https://www.ssg.com/item/dealItemView.ssg?itemId=1000023769832&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/32/98/76/spclprc/1000023769832_sp.jpg,2026-06-14 12:03:12
폴로 랄프로렌 신상 베스트 셀러,219000,219000,,https://www.ssg.com/item/dealItemView.ssg?itemId=1000028414875&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/75/48/41/spclprc/1000028414875_sp.jpg,2026-06-14 12:03:12
